"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Ernie Clement","CLE","40","133","3","16","9","0","5.3%","14.3%",".107",".253",".231",".285",".339",".275",".289","72","0.7","-3.9","3.1","0.4","20352"
"Travis Jankowski","PHI","76","157","1","24","10","5","14.0%","18.5%",".099",".317",".252",".364",".351",".312",".282","93","0.7","-0.7","-0.8","0.4","13768"
"Joc Pederson","- - -","137","481","18","55","61","2","8.1%","24.3%",".184",".281",".238",".310",".422",".315",".333","96","-1.4","-4.1","-8.3","0.4","11899"
"Christian Walker","ARI","115","445","10","55","46","0","8.5%","23.8%",".137",".307",".244",".315",".382",".304",".311","87","1.1","-6.1","-5.2","0.4","13419"
"Huascar Ynoa","ATL","18","32","2","3","6","0","0.0%","46.9%",".219",".333",".219",".219",".438",".274",".225","67","0.0","-1.4","3.9","0.4","20468"
"Alex Kirilloff","MIN","59","231","8","23","34","1","6.1%","22.5%",".172",".295",".251",".299",".423",".307",".370","95","-0.2","-1.6","-2.7","0.4","20325"
"Joe Ross","WSN","22","39","0","1","3","0","2.6%","35.9%",".000",".444",".250",".294",".250",".248",".211","51","0.0","-2.4","4.7","0.4","12972"
"Anthony Santander","BAL","110","438","18","54","50","1","5.3%","23.1%",".192",".275",".241",".286",".433",".307",".328","92","1.2","-3.3","-8.0","0.4","14551"
"Yonathan Daza","COL","107","331","2","26","30","2","6.3%","18.1%",".073",".346",".282",".332",".355",".304",".286","74","-0.3","-11.2","3.6","0.4","15794"
"Christian Vazquez","BOS","138","498","6","51","49","8","6.6%","16.9%",".094",".301",".258",".308",".352",".289",".276","76","-5.3","-19.7","6.3","0.4","9774"
"Keibert Ruiz","- - -","29","96","3","10","15","0","6.3%","9.4%",".136",".276",".273",".333",".409",".325",".307","101","-1.4","-1.2","1.5","0.4","19610"
"Anthony Alford","PIT","49","148","5","14","11","5","8.1%","39.2%",".173",".371",".233",".311",".406",".310",".289","92","-1.1","-2.6","1.1","0.3","14329"
"Garrett Hampson","COL","147","494","11","69","33","17","6.7%","23.9%",".146",".291",".234",".289",".380",".288",".291","64","4.2","-18.2","5.1","0.3","19262"
"Estevan Florial","NYY","11","25","1","3","2","1","20.0%","24.0%",".250",".385",".300",".440",".550",".423",".323","173","0.0","2.2","0.4","0.3","19151"
"Kyle Garlick","MIN","36","107","5","17","10","1","5.6%","29.9%",".232",".286",".232",".280",".465",".314",".345","100","-0.3","-0.2","0.0","0.3","18063"
"Madison Bumgarner","ARI","28","52","0","3","3","0","17.3%","55.8%",".026",".364",".103",".280",".128",".217",".220","30","0.0","-4.7","6.3","0.3","5524"
"Nick Fortes","MIA","14","34","4","6","7","1","8.8%","23.5%",".387",".263",".290",".353",".677",".426",".375","171","0.1","3.1","-0.9","0.3","21538"
"Gavin Sheets","CHW","54","179","11","23","34","0","8.9%","22.3%",".256",".264",".250",".324",".506",".352",".337","124","-1.9","3.2","-6.0","0.3","19901"
"Jorge Mateo","- - -","89","209","4","19","14","10","4.3%","26.3%",".129",".324",".247",".293",".376",".291",".287","83","1.9","-2.7","-1.1","0.3","17273"
"Eric Lauer","MIL","26","37","1","3","4","0","8.1%","40.5%",".115",".273",".154",".258",".269",".240",".204","47","0.0","-2.5","4.5","0.3","19316"
"Eloy Jimenez","CHW","55","231","10","23","37","0","6.9%","24.7%",".188",".293",".249",".303",".437",".317",".325","100","-1.6","-1.5","-3.2","0.3","17484"
"Jake Marisnick","- - -","99","198","5","21","24","4","5.6%","32.8%",".159",".306",".216",".286",".375",".287",".259","79","0.0","-5.2","1.7","0.3","11339"
"Wade Miley","CIN","30","59","0","9","3","0","5.1%","22.0%",".056",".244",".185",".228",".241",".210",".238","21","0.0","-6.0","7.1","0.3","8779"
"Jack Flaherty","STL","17","26","1","2","3","0","19.2%","26.9%",".176",".100",".118",".304",".294",".276",".364","74","0.0","-0.9","3.1","0.3","17479"
"Pablo Reyes","MIL","53","87","1","12","3","4","10.3%","17.2%",".103",".306",".256",".333",".359",".303",".277","88","1.0","-0.3","0.5","0.3","16357"
"Aaron Nola","PHI","33","63","0","5","4","0","9.5%","46.0%",".041",".333",".143",".232",".184",".197",".179","18","0.0","-6.6","7.6","0.3","16149"
"Jon Lester","- - -","30","51","1","3","3","0","3.9%","47.1%",".104",".304",".167",".200",".271",".205",".219","25","0.0","-4.9","6.2","0.3","4930"
"Tylor Megill","NYM","18","31","0","1","0","0","3.2%","54.8%",".107",".545",".214",".241",".321",".243",".129","55","0.0","-1.8","3.7","0.3","21318"
"John Hicks","TEX","10","31","4","6","7","0","0.0%","25.8%",".419",".211",".258",".258",".677",".384",".361","146","0.2","1.9","0.0","0.3","12547"
"D.J. Stewart","BAL","100","318","12","39","33","0","13.8%","28.0%",".170",".254",".204",".324",".374",".310",".315","94","1.7","-0.8","-7.1","0.3","17766"
"Rob Refsnyder","MIN","51","157","2","21","12","1","10.8%","25.5%",".094",".327",".245",".325",".338",".296",".336","88","-0.5","-2.9","0.4","0.3","13770"
"Luke Maile","MIL","15","34","0","6","3","0","8.8%","20.6%",".133",".391",".300",".382",".433",".358",".283","123","0.2","1.2","0.5","0.3","13355"
"Jake McCarthy","ARI","24","70","2","11","4","3","11.4%","32.9%",".153",".324",".220",".333",".373",".315",".255","95","0.9","0.4","0.1","0.3","21622"
"Victor Reyes","DET","76","220","5","26","22","5","3.6%","25.0%",".158",".327",".258",".284",".416",".298",".297","89","1.7","-1.2","-3.5","0.3","15487"
"Alfonso Rivas","CHC","18","49","1","7","3","0","8.2%","32.7%",".091",".481",".318",".388",".409",".353",".285","121","-0.2","1.2","-0.1","0.3","21560"
"Luis Torrens","SEA","108","378","15","39","47","0","7.4%","26.2%",".188",".294",".243",".299",".431",".311",".318","101","-1.2","-0.5","-9.7","0.3","15905"
"Nick Maton","PHI","52","131","2","16","14","2","7.6%","29.8%",".128",".364",".256",".323",".385",".309",".281","91","1.6","0.1","-1.9","0.3","21635"
"Logan Webb","SFG","28","53","1","7","7","0","3.8%","39.6%",".152",".208",".130",".167",".283",".192",".184","18","0.0","-5.6","6.4","0.3","17995"
"Roman Quinn","PHI","28","62","0","8","2","4","9.7%","30.6%",".115",".273",".173",".306",".288",".275",".286","69","0.1","-2.4","2.9","0.3","13546"
"Luke Voit","NYY","68","241","11","26","35","0","8.7%","30.7%",".197",".313",".239",".328",".437",".332",".359","112","-2.9","0.5","-6.2","0.3","14811"
"Clayton Kershaw","LAD","24","39","0","2","3","0","2.6%","28.2%",".000",".320",".222",".243",".222",".209",".213","29","0.0","-3.6","4.7","0.2","2036"
"Ranger Suarez","PHI","39","23","0","2","1","0","4.3%","21.7%",".125",".273",".188",".278",".313",".265",".252","62","0.0","-1.1","2.8","0.2","17277"
"Brandon Drury","NYM","51","88","4","7","14","0","3.4%","25.0%",".202",".328",".274",".307",".476",".333",".257","114","-1.0","0.6","-1.1","0.2","11615"
"Geraldo Perdomo","ARI","11","37","0","5","1","0","16.2%","16.2%",".161",".320",".258",".378",".419",".331",".283","105","0.6","0.8","0.4","0.2","22799"
"Luis Gonzalez","CHW","6","11","0","2","0","0","27.3%","18.2%",".250",".333",".250",".455",".500",".414",".339","166","-0.4","0.5","1.5","0.2","20332"
"Jose Rondon","STL","63","90","3","13","9","2","8.9%","18.9%",".150",".290",".263",".322",".413",".316",".297","100","0.8","0.9","-1.5","0.2","14140"
"Kevin Gausman","SFG","34","62","0","6","4","0","3.2%","50.0%",".000",".417",".185",".211",".185",".178",".121","9","0.0","-7.2","7.5","0.2","14107"
"Jake Burger","CHW","15","42","1","5","3","0","9.5%","35.7%",".211",".409",".263",".333",".474",".344",".351","119","-0.5","0.4","0.5","0.2","22275"
"Humberto Castellanos","ARI","14","7","1","1","5","0","0.0%","14.3%",".500",".400",".500",".429","1.000",".538",".313","239","0.0","1.2","0.8","0.2","21183"
"Connor Wong","BOS","6","14","0","3","1","0","7.1%","50.0%",".231",".667",".308",".357",".538",".376",".327","135","0.2","0.8","1.0","0.2","19896"
"Billy Hamilton","CHW","71","135","2","23","11","9","3.0%","34.8%",".157",".329",".220",".242",".378",".262",".216","63","2.9","-3.2","0.9","0.2","10199"
"Zac Gallen","ARI","23","42","0","2","3","0","2.4%","42.9%",".063",".429",".188",".212",".250",".203",".161","21","0.0","-4.2","5.1","0.2","19291"
"Ryan Zimmerman","WSN","110","273","14","27","46","0","5.9%","28.2%",".227",".289",".243",".286",".471",".319",".300","97","-1.8","-2.7","-4.3","0.2","4220"
"Grayson Greiner","DET","31","82","1","7","7","0","11.0%","37.8%",".097",".400",".236",".321",".333",".293",".240","86","0.9","-0.5","-0.1","0.2","17062"
"Delino DeShields","CIN","25","58","1","4","6","2","15.5%","19.0%",".170",".314",".255",".375",".426",".352",".328","113","0.5","1.5","-1.3","0.2","11379"
"Jason Heyward","CHC","104","353","8","35","30","5","7.6%","19.3%",".133",".247",".214",".280",".347",".275",".294","70","1.8","-11.6","1.8","0.2","4940"
"Yonny Hernandez","TEX","43","166","0","15","6","11","10.2%","19.3%",".035",".277",".217",".315",".252",".265",".297","65","2.1","-4.9","1.4","0.2","19432"
"Pavin Smith","ARI","145","545","11","68","49","1","7.7%","19.4%",".137",".319",".267",".328",".404",".318",".317","96","-2.4","-4.8","-11.4","0.2","19892"
"Lewin Diaz","MIA","40","128","8","16","13","0","4.7%","25.8%",".246",".210",".205",".242",".451",".288",".294","81","-0.3","-3.4","1.1","0.2","18365"
"Daniel Johnson","CLE","30","81","4","9","5","1","4.9%","33.3%",".156",".283",".221",".259",".377",".274",".270","72","0.2","-2.6","1.8","0.2","19643"
"Max Schrock","CIN","53","134","3","19","14","1","6.0%","17.9%",".160",".333",".288",".328",".448",".329",".293","99","-0.3","-0.6","-1.9","0.2","17750"
"Alex Avila","WSN","34","111","1","5","9","0","17.1%","33.3%",".157",".314",".191",".345",".348",".311",".297","92","-1.3","-2.4","0.6","0.2","7476"
"Austin Allen","OAK","4","8","1","2","1","0","0.0%","37.5%",".375",".250",".250",".250",".625",".361",".260","135","0.0","0.3","1.2","0.2","18083"
"Ben Rortvedt","MIN","39","98","3","8","7","0","6.1%","29.6%",".112",".211",".169",".229",".281",".227",".270","41","0.0","-7.0","5.5","0.2","20287"
"Breyvic Valera","TOR","39","97","1","10","15","1","8.2%","12.4%",".103",".280",".253",".313",".356",".293",".284","81","-0.2","-2.5","0.9","0.2","12758"
"Matt Peacock","ARI","35","17","0","3","2","1","5.9%","23.5%",".000",".333",".250",".294",".250",".248",".209","51","0.2","-0.9","2.1","0.2","20339"
"Sean Manaea","OAK","32","5","0","0","0","0","0.0%","20.0%",".250",".667",".500",".500",".750",".530",".196","250","0.0","0.9","0.6","0.2","15873"
"David Price","LAD","39","18","0","1","2","0","0.0%","16.7%",".067",".308",".267",".250",".333",".242",".209","51","0.0","-1.1","2.2","0.2","3184"
"Dylan Cease","CHW","32","8","0","1","0","0","0.0%","37.5%",".125",".600",".375",".375",".500",".375",".189","139","0.0","0.4","1.0","0.2","18525"
"Austin Dean","STL","22","38","1","5","7","0","15.8%","28.9%",".167",".300",".233",".342",".400",".320",".290","103","0.9","1.0","-0.7","0.2","18288"
"Jake Arrieta","- - -","25","30","0","3","0","0","6.7%","53.3%",".000",".429",".130",".231",".130",".182",".150","21","0.0","-3.0","3.6","0.2","4153"
"DJ Peters","- - -","70","240","13","29","38","2","5.0%","34.2%",".224",".237",".197",".242",".422",".272",".273","71","0.5","-8.2","1.6","0.2","19348"
"Anthony Rendon","LAA","58","249","6","24","34","0","11.6%","16.5%",".143",".267",".240",".329",".382",".310",".303","94","-1.1","-2.9","-4.0","0.2","12861"
"Bobby Bradley","CLE","74","279","16","36","41","0","9.0%","35.5%",".237",".263",".208",".294",".445",".314",".331","99","-2.0","-2.4","-5.6","0.2","17278"
"Ben Gamel","- - -","122","400","8","43","26","3","12.8%","26.3%",".141",".329",".247",".347",".388",".322",".315","100","-0.5","-0.3","-11.6","0.2","12160"
"Jerad Eickhoff","NYM","6","8","0","0","0","0","0.0%","0.0%",".000",".400",".400",".400",".400",".352",".185","126","0.0","0.3","1.0","0.1","12664"
"Corbin Burnes","MIL","28","59","0","1","4","0","5.1%","44.1%",".000",".308",".154",".200",".154",".166",".150","-1","0.0","-7.7","7.1","0.1","19361"
"Adrian Sanchez","WSN","16","38","0","5","1","0","7.9%","10.5%",".057",".290",".257",".316",".314",".271",".252","66","-1.6","-3.3","3.5","0.1","11338"
"Trevor Williams","- - -","23","28","0","1","1","0","3.6%","32.1%",".000",".313",".200",".231",".200",".196",".126","19","0.0","-2.9","3.4","0.1","16977"
"Ryan Weathers","SDP","32","28","1","3","1","0","3.6%","25.0%",".111",".158",".148",".179",".259",".191",".208","19","0.0","-2.9","3.4","0.1","23796"
"T.J. Friedl","CIN","14","36","1","9","2","0","11.1%","5.6%",".129",".276",".290",".361",".419",".338",".301","104","0.5","0.7","-0.5","0.1","19522"
"Luke Williams","PHI","58","108","1","8","6","2","9.3%","21.3%",".071",".311",".245",".315",".316",".283",".266","74","0.1","-3.5","1.3","0.1","19931"
"Deven Marrero","MIA","10","19","1","4","1","1","15.8%","31.6%",".188",".222",".188",".316",".375",".307",".181","93","-0.3","-0.5","1.2","0.1","13325"
"Daniel Camarena","SDP","6","3","1","1","4","0","0.0%","66.7%","1.000",".000",".333",".333","1.333",".669",".516","330","0.0","0.9","0.4","0.1","14467"
"Patrick Kivlehan","SDP","5","8","0","3","2","0","25.0%","37.5%",".000",".500",".250",".500",".250",".373",".348","137","0.3","0.7","0.4","0.1","13910"
"Taylor Trammell","SEA","51","178","8","23","18","2","9.6%","42.1%",".199",".233",".160",".256",".359",".270",".233","73","0.0","-5.8","1.0","0.1","19960"
"Randal Grichuk","TOR","149","545","22","59","81","0","5.0%","20.9%",".182",".266",".241",".281",".423",".300",".297","85","-4.9","-14.7","-2.5","0.1","10243"
"Seth Beer","ARI","5","10","1","4","3","0","10.0%","30.0%",".444",".600",".444",".500",".889",".570",".471","260","-0.1","1.9","-1.0","0.1","20493"
"Jose Barrero","CIN","21","56","0","4","3","1","5.4%","30.4%",".120",".303",".200",".286",".320",".271",".238","61","0.4","-2.4","1.8","0.1","23378"
"Yermin Mercedes","CHW","68","262","7","26","37","0","7.6%","17.6%",".133",".309",".271",".328",".404",".317",".313","100","-1.2","-1.0","-6.6","0.1","17423"
"Spencer Howard","- - -","19","7","0","0","0","0","0.0%","42.9%",".167",".667",".333",".333",".500",".353",".175","120","0.0","0.2","0.8","0.1","23252"
"Ryan McKenna","BAL","90","197","2","20","14","1","12.2%","37.6%",".083",".312",".183",".292",".266",".259",".281","59","1.6","-8.2","2.8","0.1","19928"
"Wilmer Difo","PIT","116","240","4","25","24","1","8.3%","22.5%",".114",".340",".269",".329",".384",".312",".276","94","1.4","-0.6","-6.2","0.1","14320"
"Garrett Cleavinger","LAD","22","3","0","0","0","0","0.0%","33.3%",".500","1.000",".500",".500","1.000",".621",".410","296","0.0","0.8","0.4","0.1","17897"
"Adam Wainwright","STL","34","74","0","1","4","0","4.1%","33.8%",".035",".219",".123",".167",".158",".149",".176","-8","0.0","-10.2","8.9","0.1","2233"
"Webster Rivas","SDP","24","77","2","8","4","0","10.4%","20.8%",".118",".260",".221",".303",".338",".286",".257","81","-1.5","-3.4","1.9","0.1","14636"
"Luis Castillo","CIN","33","59","0","1","2","0","1.7%","39.0%",".041",".308",".163",".180",".204",".169",".135","-6","0.0","-8.0","7.1","0.1","15689"
"Tony Gonsolin","LAD","17","19","0","2","0","0","5.3%","42.1%",".059",".333",".176",".222",".235",".205",".140","26","0.0","-1.8","2.3","0.1","19388"
"Martin Maldonado","HOU","125","426","12","40","36","0","11.0%","29.8%",".129",".221",".172",".272",".300",".258",".267","61","-5.0","-25.3","11.9","0.1","6887"
"Matthew Boyd","DET","15","5","0","0","0","0","20.0%","20.0%",".000",".500",".333",".500",".333",".393",".610","153","0.0","0.3","0.6","0.1","15440"
"Jose Quintana","- - -","29","2","0","0","0","0","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".785",".411","403","0.0","0.8","0.2","0.1","11423"
"Stephen Strasburg","WSN","5","7","0","0","0","0","14.3%","28.6%",".200",".333",".200",".333",".400",".322",".398","99","0.0","0.0","0.8","0.1","10131"
"Cal Raleigh","SEA","47","148","2","6","13","0","4.7%","35.1%",".129",".267",".180",".223",".309",".231",".227","47","0.0","-9.6","5.6","0.1","21534"
"Josh Tomlin","ATL","36","5","0","0","0","0","20.0%","20.0%",".000",".500",".333",".500",".333",".393",".192","144","0.0","0.3","0.6","0.1","9388"
"Marcus Stroman","NYM","33","58","0","2","1","1","6.9%","41.4%",".039",".185",".098",".164",".137",".143",".155","-10","0.2","-7.9","7.0","0.1","13431"
"Josh Lowe","TBR","2","2","0","0","0","1","50.0%","0.0%",".000","1.000","1.000","1.000","1.000",".785",".443","422","0.2","1.0","0.0","0.1","19953"
"Rene Rivera","- - -","25","78","2","8","9","0","5.1%","37.2%",".130",".368",".232",".293",".362",".288",".263","81","-1.2","-3.0","1.4","0.1","3648"
"Michael Hermosillo","CHC","16","38","3","5","7","0","2.6%","31.6%",".306",".190",".194",".237",".500",".307",".324","91","-0.2","-0.6","0.4","0.1","16285"
"Seby Zavala","CHW","37","104","5","15","15","0","5.8%","39.4%",".194",".255",".183",".240",".376",".265",".219","65","0.4","-4.0","1.4","0.1","18887"
"Austin Voth","WSN","49","3","0","1","0","0","0.0%","33.3%",".000","1.000",".500",".667",".500",".534",".284","237","0.0","0.5","0.4","0.1","15047"
"Zack Wheeler","PHI","33","73","0","1","3","0","0.0%","53.4%",".029",".379",".162",".162",".191",".153",".118","-11","0.0","-10.3","8.8","0.1","10310"
"Johan Oviedo","STL","14","22","0","3","2","0","9.1%","40.9%",".000",".273",".150",".227",".150",".183",".152","14","0.0","-2.4","2.7","0.1","22487"
"Alex De Goti","HOU","2","7","0","2","1","0","14.3%","28.6%",".000",".500",".333",".429",".333",".350",".284","123","0.5","0.7","0.0","0.1","19477"
"Sean Reid-Foley","NYM","12","2","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","347","0.0","0.6","0.2","0.1","17034"
"Andy Burns","LAD","9","15","0","2","0","0","20.0%","6.7%",".091",".300",".273",".467",".364",".386",".401","144","-0.1","0.7","-0.3","0.1","12779"
"Ryan LaMarre","NYY","9","24","2","3","4","1","8.3%","25.0%",".286",".154",".190",".292",".476",".328",".255","109","0.0","0.2","-0.1","0.1","10700"
"Alex Dickerson","SFG","111","312","13","37","38","1","7.4%","24.4%",".187",".273",".233",".304",".420",".313",".337","96","-0.5","-2.0","-7.5","0.1","12649"
"Jose Alvarez","SFG","67","5","0","1","0","0","40.0%","40.0%",".000",".000",".000",".500",".000",".346",".346","118","0.0","0.1","0.6","0.1","5358"
"Eli White","TEX","64","220","6","26","15","4","8.2%","30.0%",".131",".230",".177",".259",".308",".253",".249","58","0.2","-11.2","4.6","0.1","19346"
"Dakota Hudson","STL","2","4","0","1","0","0","25.0%","50.0%",".000","1.000",".333",".500",".333",".393",".234","150","0.0","0.2","0.5","0.1","19206"
"Andrew Heaney","- - -","30","4","0","1","0","0","25.0%","50.0%",".000","1.000",".333",".500",".333",".393",".333","154","0.0","0.2","0.5","0.1","15423"
"Jonathan Lucroy","- - -","7","23","0","2","3","0","13.0%","17.4%",".053",".400",".316",".409",".368",".351",".290","118","-0.2","0.3","-0.2","0.1","7870"
"JT Riddle","MIN","4","6","0","1","0","0","0.0%","0.0%",".000",".333",".333",".333",".333",".293",".368","86","0.3","0.2","0.4","0.1","17642"
"Erick Castillo","CHC","4","9","0","0","0","0","11.1%","11.1%",".000",".286",".250",".333",".250",".272",".188","69","0.0","-0.4","0.9","0.1","12990"
"Mauricio Dubon","SFG","74","187","5","20","22","2","4.8%","21.9%",".137",".282",".240",".278",".377",".278",".273","74","-1.5","-7.8","2.3","0.1","16530"
"Zach Davies","CHC","33","44","0","2","2","0","0.0%","18.2%",".000",".231",".176",".176",".176",".155",".156","-7","0.0","-6.0","5.3","0.1","13183"
"Taylor Davis","PIT","2","6","0","0","0","0","16.7%","0.0%",".000",".400",".400",".500",".400",".408",".328","156","-0.1","0.3","0.2","0.1","12782"
"Justin Dunn","SEA","11","3","0","0","1","0","0.0%","66.7%",".333","1.000",".333",".333",".667",".414",".102","171","0.0","0.3","0.4","0.1","19268"
"Jo Adell","LAA","35","140","4","17","26","2","5.7%","22.9%",".162",".298",".246",".295",".408",".303",".317","89","-0.3","-2.2","-1.9","0.1","20220"
"Jake Faria","ARI","24","3","0","1","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".414",".225","159","0.0","0.2","0.4","0.1","13699"
"Kyle Wright","ATL","2","3","0","1","0","0","0.0%","33.3%",".333",".500",".333",".333",".667",".414",".272","158","0.0","0.2","0.4","0.1","19665"
"Justin Upton","LAA","89","362","17","47","41","4","10.8%","29.6%",".198",".254",".211",".296",".409",".305",".322","91","0.9","-3.2","-8.4","0.1","5222"
"Austin Hedges","CLE","88","312","10","32","31","1","4.8%","27.9%",".129",".214",".178",".220",".308",".227",".231","40","-0.2","-23.2","13.2","0.1","12976"
"Tommy Hunter","NYM","4","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".663","468","0.0","0.5","0.1","0.1","1157"
"Connor Overton","- - -","9","1","0","1","2","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".122","462","0.0","0.5","0.1","0.1","18376"
"Oneil Cruz","PIT","2","9","1","2","3","0","0.0%","44.4%",".333",".500",".333",".333",".667",".418",".384","163","0.0","0.7","-0.4","0.1","21711"
"Kyle Gibson","- - -","31","30","1","3","2","0","0.0%","33.3%",".103",".167",".138",".138",".241",".160",".136","-5","0.0","-4.0","3.6","0.1","10123"
"Riley Adams","- - -","47","120","2","13","10","0","12.5%","33.3%",".162",".351",".222",".358",".384",".332",".319","105","0.1","1.0","-4.5","0.1","19864"
"Daniel Bard","COL","67","1","0","1","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".879",".803","448","0.0","0.4","0.1","0.1","7115"
"Jordy Mercer","WSN","46","127","2","13","9","0","7.1%","26.8%",".110",".341",".254",".307",".364",".294",".284","81","-0.2","-3.2","-0.4","0.1","6547"
"Chad Pinder","OAK","75","233","6","30","27","1","6.9%","26.6%",".168",".313",".243",".300",".411",".307",".354","99","-0.6","-0.9","-6.4","0.1","15191"
"Jakson Reetz","WSN","2","2","0","1","0","0","0.0%","0.0%",".500",".500",".500",".500","1.000",".621",".383","293","0.0","0.5","0.0","0.1","17837"
"Josh Palacios","TOR","13","42","0","7","4","0","7.1%","26.2%",".000",".280",".200",".293",".200",".236",".307","42","1.8","-1.2","0.4","0.1","19818"
"James Kaprielian","OAK","24","4","0","1","0","0","0.0%","50.0%",".000","1.000",".333",".333",".333",".293",".310","89","0.0","-0.1","0.5","0.1","18331"
"Tyler Nevin","BAL","6","18","1","3","3","0","22.2%","27.8%",".357",".375",".286",".444",".643",".452",".335","190","0.2","2.2","-2.2","0.1","17893"
"Ivan Castillo","SDP","3","4","0","0","1","0","25.0%","0.0%",".000",".333",".333",".500",".333",".393",".308","150","0.0","0.2","0.2","0.1","15971"
"Dane Dunning","TEX","27","4","0","0","0","0","0.0%","25.0%",".000",".500",".333",".333",".333",".293",".081","84","0.0","-0.1","0.5","0.1","19409"
"Justus Sheffield","SEA","21","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".449","188","0.0","0.2","0.2","0.1","17285"
"Jordan Yamamoto","NYM","2","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".421","183","0.0","0.2","0.2","0.1","17585"
"Bailey Ober","MIN","20","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".484","185","0.0","0.2","0.2","0.1","21224"
"Patrick Corbin","WSN","31","63","0","1","0","0","4.8%","38.1%",".000",".241",".132",".179",".132",".147",".161","-15","0.0","-9.2","7.6","0.1","9323"
"Triston McKenzie","CLE","25","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".432","183","0.0","0.2","0.2","0.1","18000"
"Cal Quantrill","CLE","40","2","0","0","0","0","0.0%","0.0%",".000",".500",".500",".500",".500",".440",".068","183","0.0","0.2","0.2","0.1","19312"
"Walker Buehler","LAD","34","82","0","5","3","0","6.1%","54.9%",".029",".292",".101",".162",".130",".140",".126","-16","0.0","-12.2","9.9","0.1","19374"
"Garrett Whitlock","BOS","46","2","0","0","0","0","0.0%","50.0%",".000","1.000",".500",".500",".500",".440",".415","178","0.0","0.2","0.2","0.0","20191"
"John Means","BAL","26","5","0","0","0","0","0.0%","40.0%",".200",".333",".200",".200",".400",".248",".308","52","0.0","-0.3","0.6","0.0","16269"
"Steven Brault","PIT","7","8","0","0","0","0","0.0%","25.0%",".167",".250",".167",".167",".333",".207",".111","25","0.0","-0.8","1.0","0.0","15291"
"Luis Barrera","OAK","6","8","0","1","0","0","0.0%","25.0%",".000",".333",".250",".250",".250",".220",".243","40","0.1","-0.5","0.7","0.0","19615"
"Garrett Richards","BOS","40","5","0","0","1","0","0.0%","40.0%",".200",".333",".200",".200",".400",".248",".174","49","0.0","-0.3","0.6","0.0","9784"
"Justin Bruihl","LAD","21","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","343","0.0","0.3","0.1","0.0","23779"
"Jake Brentz","KCR","72","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","351","0.0","0.3","0.1","0.0","17783"
"Trevor Richards","- - -","53","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","340","0.0","0.3","0.1","0.0","19309"
"Josh Naylor","CLE","69","250","7","28","21","1","5.6%","18.0%",".146",".287",".253",".301",".399",".302",".311","90","-1.4","-4.3","-3.7","0.0","18839"
"Austin Davis","- - -","29","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","348","0.0","0.3","0.1","0.0","17117"
"Mario Feliciano","MIL","1","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".692",".692","340","0.1","0.4","0.0","0.0","20263"
"Mike Tauchman","- - -","75","191","4","22","15","3","12.0%","30.4%",".102",".250",".181",".284",".283",".260",".276","62","-0.4","-9.7","3.7","0.0","15274"
"Caleb Smith","ARI","45","25","0","2","0","1","4.0%","56.0%",".045",".250",".091",".167",".136",".147",".148","-15","0.2","-3.5","3.0","0.0","14875"
"Ross Detwiler","- - -","53","3","0","0","0","0","0.0%","66.7%",".000","1.000",".333",".333",".333",".293",".132","84","0.0","-0.1","0.4","0.0","2859"
"Phil Bickford","- - -","57","3","0","0","0","0","0.0%","66.7%",".000","1.000",".333",".333",".333",".293",".049","83","0.0","-0.1","0.4","0.0","18519"
"Kohl Stewart","CHC","4","3","0","0","0","0","0.0%","33.3%",".000",".500",".333",".333",".333",".293",".199","82","0.0","-0.1","0.4","0.0","15502"
"Cory Abbott","CHC","8","3","0","0","0","0","0.0%","33.3%",".000",".500",".333",".333",".333",".293",".124","82","0.0","-0.1","0.4","0.0","20277"
"Taylor Clarke","ARI","43","3","0","0","0","0","0.0%","66.7%",".000","1.000",".333",".333",".333",".293",".052","80","0.0","-0.1","0.4","0.0","17611"
"Chi Chi Gonzalez","COL","24","34","0","3","1","0","2.9%","47.1%",".032",".333",".161",".188",".194",".170",".162","-12","0.0","-4.9","4.1","0.0","14663"
"Payton Henry","MIA","5","16","0","0","0","0","6.3%","31.3%",".067",".400",".267",".313",".333",".286",".331","79","-0.3","-0.7","0.6","0.0","22164"
